;documents;0;1;2;3;4;5;6;7
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0009189695862564183;0.06043855039427523;0.0009660617613701856;0.002535780023320285;0.0023723138177336295;0.0017488096015086363;0.001269885864487167;0.0
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00014555159233600276;0.04433289353403532;0.00033109327721477037;0.02642488895695229;0.0030236133834622967;2.1688312225259352e-05;7.586622079595106e-05;0.0
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.05959754298943887;0.057215088515433235;0.026765574023272693;0.00042646169039807654;0.0;0.0011175122090334607;0.000528924235332697
23;Bonjour,;0.000818570592687549;0.0;0.0;0.002801900246005399;0.0;2.8779532794328445e-05;0.0;0.0
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.00042224614160534045;0.0003299363472219424;0.00042151886522219664;0.007092000297325839;0.00046882563240712024;0.00068117531726779;0.0006844844181565453;0.0
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0008064482387376905;6.723832777259065e-05;0.0;0.0;0.00017716769057180237
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.0005467894409526344;0.00014819070657121075;0.001517646011538395;0.022346112571673318;0.00013464005822687685;0.0;0.0;0.0
28;super contente;0.002104682379620801;0.000615151849089762;0.00712885342772802;0.0078031214604369886;0.0037393363096561577;0.0016067422708705213;0.0;0.004454266720989309
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05983538697688445;0.0007301099396757061;0.0;0.012223501359311148;0.004883206218428025;0.002475822216907109;0.0;0.0
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;1.4364971758264345e-05;0.00024091997622486535;0.0011141577015678279;0.021430183670527212;0.0014641147642791526;0.09850487682022066;0.10484089679992731;0.0
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.052634026423246355;0.0;0.004279812927658951;0.02812715613492597;0.0;0.0012247313371419976;0.0;0.0
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.0;0.0;0.0;0.12343282809842557;0.0;0.0;0.0;0.0007949564053991995
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.04901626788680112;0.0009589486234439849;0.00250078899527861;0.0055734467487406425;0.0009430859176575808;0.0011635077587446132;0.07818912586408881;0.0
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.000513471764055973;0.05688285889480774;0.09028899150015403;0.001241313312406378;0.0002251818812842208;0.0;0.0;0.0
35;Texture super agréable, j’adore !;0.0;0.0;0.04595361495805083;0.05385145696783387;0.0;0.0;0.0;0.0
36;Je recommande ce produit que j'utilise depuis longtemps et qui fait son effet de coiffure naturelle sans laque - A essayer sans réserve -;0.06976977884365333;0.0020534855074955034;0.0;0.012317271913396906;0.001457070541715267;0.00883856378483115;0.00110920897224952;0.0
37;Très bon produit ... je l'utilise depuis 6 mois et j'en suis plus que satisfaite ....rapport qualité prix également...livraison plus que correcte;0.0012872274980128245;0.10481152315968521;0.0;0.004912289762517964;0.006255568098707381;0.11660264650700129;0.0011595896643348221;0.0014170496760921327
38;Ce mascara est super. Je l’utiluse Depuis des années. Par contre vous devez savoir que ce vendeur va vous l’envoyer sans blister. Vous allez le recevoir dans une enveloppe toute simple. Cela n’est pas mentionné dans le descriptif.;0.000564153464028975;0.0005572935730699853;0.0;0.008837433844401797;0.007228001009467798;0.0030073310174389893;0.00012814159951281807;0.0
39;Le seul qui ne me fais pas pleurer les yeux et que je supporte et qui est bien noir je recommande je ne prend que celui la;0.06553689010496219;0.00048748346693602623;0.0;0.006647058522977464;0.0003703536587471535;0.0014350551374346142;0.0008490719404837489;0.0
40;nan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;j'ai les cheveux vraiment très très sec et ce shampoing les répare très très bien.;0.0005946372659530613;0.0;0.0;0.03318862417599601;0.0;5.191538159683289e-05;0.0018399952799591527;0.0
42;obligé de faire une dissertation c relou;0.0;0.0;6.477291774029182e-05;0.0004107385643343811;4.958409560664852e-07;0.0;0.0;0.0002822018817424192
43;Heureusement que sur le net il y a des tutoriels parce que le moins qu'on puisse dire c'est débrouille toi avec ce qu'on te vend...De la part d'une si grande marque c'est pauvre, (mais pas le prix) !;0.00035997231889581266;0.039255089328550506;0.0002537207713393429;0.005634063142668458;0.0;0.0013025311434263836;0.0006805655186237296;0.0
44;Efficacité prouvée grâce à ma fille, venue pour me conseiller, et à qui j'ai offert le deuxième produit.;0.00020073201323763336;0.0015414660579414347;0.0002062126092492586;0.008032817334112026;0.00035139854512060637;0.0016271642909754512;0.001189840311309033;0.0
45;J'ai les cheveux courts;0.0003434463512197071;0.000549225463316356;0.0;0.0050339816963961125;0.0;0.00011515965919117621;0.0;0.0
46;Je cherchais une cire qui tienne mes cheveux, ne les rendent pas gras, ni d'effet mouillé et que je puisse resculpter;0.0005307959963700307;0.0;0.0032358254511906286;0.021395391280163774;0.0;0.0009818423370733782;0.0010537970022285962;0.0
47;Cette cire fait son office, j'en ai essayé plusieurs et c'est la seul qui arrive au niveau de L'Oréal adixion pour homme qui n'existe plus;0.00046242753184876225;0.0013025868648317825;0.001835351000905949;0.012451059172777073;0.0012898038025321973;0.0017456210541172818;0.0033526421576088143;0.0
48;J'en ai même acheté plusieurs pots vu mon niveau de satisfaction;0.000280209408278497;0.0023657545698585816;0.0006426349064606562;0.007813821041548381;0.0008303008053843182;0.001544741615264492;0.0;0.0003542485639053462
49;J'ai testé plusieurs palettes correctrices et j'ai fini par acheter celle-ci pour atténuer mes rougeurs et ma couperose.;0.00038683787821226355;0.0014060180887922602;0.0;0.008143012615665954;0.0005366707329336518;0.0007400225236092871;0.00016116014640936384;0.00015715819786681442
50;Certains se plaindront du manque d'un pinceau, mais je trouve cela superflu et l'application au doigt plus intuitive et facile pour travailler la texture.;0.0;0.0001220888542838189;0.00941860506953178;0.03610811123556022;0.0;0.0;0.0004663525788646227;0.0
51;J'ai un meilleur rendu et fondu avec un application au doigt plutôt qu'avec le pinceau, j'ai principalement appliqué le vert, les autres couleurs étant difficile à appliquer pour moi puisque je dois en mixer plusieurs pour pouvoir atténuer mes cernes. Je pense que les teintes ne sont pas adaptées à ma carnation,j'aurais besoin d'un anti-cernes plus jaune. Après application de mon fond de teint, le correcteur ne se perçoit pas et c'est le plus important qu'il camoufle les imperfections sans être visible.;0.00042782410256115053;0.0005692552913005373;0.0;0.048902147969874576;0.00027368625104354905;2.2089522660764926e-05;0.00020470012987453158;0.0
52;Livraison express comme d'abitude .;0.0017586042651784126;0.0032561505511181465;0.0;0.0;0.009122706939986971;0.0029119094826027133;0.0;0.0014589539661997246
53;petit prix .;0.0;0.15397762534343598;0.00048466192130291466;0.006705906037995951;0.0;0.0;0.0;0.0
54;Bon shampoing pour déjaunir les cheveux mechés.;7.577459116534561e-05;0.0006954233315018486;0.0;0.0014002455855658905;3.994870211441587e-05;0.0003796336971267352;0.0006886568095433646;0.0
55;pratique avec sa pompe;0.0;0.0014068687922903246;0.0045396928889927845;0.015931466401065648;0.00048718147866750526;0.0;0.0026265087016177626;0.0
56;satisfaite de mon achat;0.0;0.0009753800628551399;0.0;0.0;0.005194207028441374;0.22782010551984194;0.00046109807641371835;0.0003253573611946199
57;Très bonne gamme, parfum doux et nourrit vraiment très bien le cheveux, je ne trouve pas mieux depuis ou sinon à chaque fois que j’ess Je reste déçu et reviens vite à ce masque;0.0014756387319722316;0.00212467002388421;0.0012477497969100276;0.019749255273839042;0.000398638574211145;0.0;0.0018068908420092484;0.07952971722937942
58;Mascara allongeant qui tient toutes ses promesses. Noir intense. Brosse fine à pivots. Ne fait pas de paquets. Joli packaging.;0.0011338865713248982;0.0005933735386505566;0.0019095317228195617;0.012932281895256928;0.0013906893575547942;0.0;0.002200322313068442;0.0
59;très bon produit ! rien à dire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;Première utilisation, une très petite quantité suffit pour se coiffer! (J'en ai mis trop ^^);0.0009409535275784464;0.00959955354581395;0.0042711862118871855;0.03888004639306274;0.0018252844950468168;0.0002172513782031204;0.0;0.0071172908884320546
61;Bonne tenue et comme annoncé, sans résidus, ne colle pas! Impeccable! Je le recommande !;0.06509069346550789;0.0024352762421195676;0.00474865544169937;0.003605549452452857;0.000254143345467291;0.0;0.00015773530660789838;0.0
62;Bonne tenue des cheveux mais ne colle pas.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;Très facile à utiliser;0.0;0.0;0.0;0.12045216495021016;0.0;0.0;0.0;0.0
64;Achat conforme.;0.0;0.0010655604754712447;0.0;0.0;0.2089678792980389;0.013653475047861543;0.0006361249596829724;0.0007105574207632697
65;Juste parfait;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;Il sent bon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;Il est grand !;0.00015485305818107995;0.004912043939218427;0.00018226547182777634;0.010607270971886986;0.0;0.001988447393431943;0.001846046556704389;0.0015468547412924416
68;Le pot dur assez longtemps avec un lavage quotidien! Protégé parfaitement  les cheveux;0.0005669701896964423;0.0016496522205094084;0.002361536596727647;0.0131697712974292;0.0007767970731623867;0.0017404853683149174;0.0;0.0
69;-Re-Pigmenter les cheveux selon sa couleur naturelle....;0.00041167868220171044;0.0;0.0;0.022567490495341503;0.0015043140273175823;0.002344816674642334;0.000723594266013631;0.0
70;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;J'avoue qu'avant d'essayer le produit je n'étais pas convaincu ... D'autant que cela n'étais pas évident puisque la notice donne quelques contre indications... dont une qui me concerne ...les cheve;0.00010473182127968403;0.0006777626344045194;0.0;0.010089903480424517;0.0010151648491209869;0.0012118999132262717;0.0006079349816235173;0.0
72;il avait arreté la vente au supermarché et il était les mieux placé niveau prix, bon il on repris en supermarché et là par contre ce n'est plus avantageux de le prendre en ligne;0.0003846928513920439;0.032625744518596365;0.000134527981037568;0.005502593591548207;0.0;0.0006477092527061256;0.0006518041146724973;0.0
73;rien à dire sur la qualité prouvé de ce produit pour se faire des yeux de biche;0.00017190877918356199;0.0;0.0;0.0;0.0;0.0;0.12127843144344296;0.0
74;ce produit et tous a fait se que j'attendais,  ayant pris le meme produit au coiffeur est l'ayant payé plus cher , je recommande le produit.;0.0006913644444988099;0.0039026332965698156;0.00044766462156094954;0.011553159045965211;0.004101706369375923;0.0019406592874479233;0.0010017664418085635;0.0
75;le seul petit  b-mol c'est que ce shampooing a tendance à bleuir légèrement les mains lorsqu'on l'utilise mais ça part rapidement sinon y a pas mieux pour déjaunir! parole de coiffeuse!;0.0010124252294798951;0.005722337877991614;0.0011849419394772912;0.023532878512164783;0.0028258431937178696;0.005563660437586517;0.00041327535039678955;0.0
76;Acheté en une si généreuse quantité , calculez à combien ce produit vous revient s'il est acheté chez un coiffeur ( introuvable ailleurs en petite quantité ) , vous aurez vite compris que chez AMAZON , il n'y a pas mieux rapport qualité/prix ,avec envoi rapide et soigné.;0.00212226737224958;0.05802850864994898;0.0036440555895400836;0.011418311136365105;0.005616299082862277;0.0029391019690548277;0.05494905550997552;0.0012995419250048537
77;Livré rapidement et tout à fait conforme au produit acheté précédemment en salon.;0.00016556231450875743;0.0029875763954194225;0.0;0.009980446833578365;0.10520053415411171;0.0009899327538858207;0.0003199414205556502;5.287649879814106e-05
78;L'hydratation et la nutrition font de se produit un best-seller à avoir absolument pour reconstruire parfaitement les fibres capillaires.;0.0003583072794796856;0.00031123587230014833;0.0011161457371729325;0.005379458668861088;0.000549852359874087;0.00017531085910409459;0.0;0.0
79;Je recommande fortement.;0.13652369542328308;0.0;0.0;0.0;0.0;0.0;0.0011098826836003497;0.0
80;mon coiffeur me l a conseillé pour mes mes mèches;0.0017520972264598927;0.00573986324530175;0.0;0.0176328401973223;0.0025082503827087922;0.0019231773100376257;0.003011373421455172;0.0
81;j en suis ravie mes cheveux restent beaux et blonds clairs;0.0018188277530361639;0.001613384316989372;0.0;0.00996320716630405;0.0018428789913506475;0.002624289124556946;0.00021977769743870417;0.0
82;Assez difficile à réaliser seule.;0.000209662607324826;0.0010888550619831145;0.0;0.004027099026072422;0.0;0.0008582215118856977;0.0;0.0
83;Cela a pas mal abimé mes pointes et longueurs qui ont déjà eu ce type de lissage...;0.00041898453974937867;0.0013830471150486406;0.00030469120839341933;0.015033990805849363;0.0017159522401872201;0.00126414800680971;9.754872477582038e-05;5.176869272649892e-05
84;Cependant cela a bien marché pour les racines naturelles, les cheveux ont bien été assouplis.;0.00010543282680557296;0.0005614325050114875;0.00020129792424673334;0.003869485554894225;0.0;0.0008732575361656779;0.0001493525037179489;0.0001724189821045014
85;Léger bémol aussi, cela a beaucoup éclairci ma couleur! Car le produit contient du peroxyde d'hydrogène... :S;0.0;0.0007745829543051869;0.00284438247059815;0.018648928238202654;0.000883343229469736;0.00236795702545818;0.00011275315688944158;0.0
86;La couleur est magnifique, rien que pour ça il vaut le coup. Dommage que l'étiquette avec le code barre soit au milieu du mode d'emploi qui lui est en ..... allemand !!!! Pas un mot de français sur le produit. Réservé aux polyglottes .;8.092764568423299e-05;0.001018268377651682;0.0009282367705858788;0.01285595838726559;0.0006988431188301834;0.0007621957905079528;0.0009792553834009267;6.687875551678537e-05
87;Je l’utilise depuis 20 ans. En général, j’en suis satisfait, mais Il faut l’utiliser au moins deux fois par mois (mieux tous les 10-12 jours), autrement les cheveux ont tendance au jaunissement. C’est un peu cher par rapport à autres colorants...;0.0006604365480259158;0.03093059150547764;0.0;0.04731625558792865;9.390973851004347e-06;0.006281156737434997;0.0005954724610837969;0.0
88;Très bon shampooing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
89;J'ai connue cette cire chez un coiffeur qui me l'a vendue plus de 20€...;0.0011010798481674755;0.003641179973350991;0.0012128701434409041;0.013429384590798326;0.0027995052573414714;0.002107273515112995;0.0027100699347500975;0.0
90;En cherchant sur amazon je suis tombé dessus pour 13 euros, j'adore cette cire-gel, j'ai les cheveux secs donc c'est ce qu'il me faut pour les nourrir.;0.0008526199430759048;0.001508468518121105;0.0018996115512059887;0.014005071802233215;0.0;0.0;0.0010378434743019702;0.0032266636602258218
91;Très bonne qualité, j'utilise depuis plus d'1 an;0.0;0.0;0.0;0.059333702508160134;0.0;0.0;0.20192860890421555;0.0
92;Parfait. Je connais ce produit et je l'adore.;9.346949285467975e-07;0.0007514292917155654;0.0;0.0046580593384932464;0.0;0.0;0.00023912242834068793;0.0
93;Je le conseille vivement. Cet eyeliner tient toute la journée. C'est le top pour un prix très abordable.;0.006291389856371136;0.05639629861136603;0.0005992796539715758;0.016492792570497405;0.0;0.001572908046481288;0.0;0.0
94;"Je l'utilise seulement depuis deux semaines donc pas forcément assez de recul pour faire un commentaire détaillé. Mais je je peux déjà dire que pour une crème hydratante ""anti-age"" elle est semble bien meilleure que les équivalent nivea que j'ai testé. Elle hydrate très bien sans donner l'aspect collant. Elle permet de masquer de légère rides (donne un aspect lisse à la peau), sent vraiment bon. Bref ca semble un produit vraiment correct. Après oui c'est cher, mais les produit concurrent sont du même ordre de prix/";0.00022414474832235389;0.02353775428331324;0.0;0.07112645582829957;0.0;0.0008988752475832276;0.0;0.0
95;Après plusieurs utilisations, je recommande à 1000 % ce shampoing de là gamme inforcer de l’oreal professionnel , je l utilise avec le masque de là même gamme et Le résultat est bluffant mais cheveux sont plus fort plus doux plus brillant et regraisse beaucoup moins vite, un shampoing de pro à utiliser à la maison !;0.03745071915508308;0.0021065682222055427;0.0005761868035736198;0.044552546002124785;0.0009963761041062438;0.0054858734676694115;0.005382973646462803;0.054761307071189785
96;Ne fonctionne pas sur mon type de cheveux,;1.4314595215407166e-06;0.00015472711266057972;5.045692328762104e-05;0.010511718839600503;0.0003436976219204553;0.0008779134910269519;0.0;0.0
97;Renseigner vous auprès de pro de la coiffure avant achat;0.00038966465245131456;0.002132639356068227;0.0;0.0026339085781188435;0.0046455652355736066;0.008360575391394058;0.0011986544007646944;0.0005173715404687509
98;Déçu du produit;0.0004685132179295943;0.0007029100188605996;0.0017767297939725992;0.0036581788235955687;0.00011717174373243804;0.0;0.0016572280881364215;0.000789587290639597
99;Ce n'est pas du tout pigmenté et s'efface trop facilement. Il ne me sert à rien, de l'argent gâché !;0.0004419966332535354;0.00011069653745376433;0.00014511857572260844;0.004590208285118794;0.0;0.0001457190196370461;6.996523740877063e-05;7.538571487051689e-05
100;Ce masque est très bien moi qui ai les cheveux frisés et très secs je le trouve même encore mieux que l'ancien Absolut Repair que j'utilisais depuis des années. il pénètre mieux les cheveux et on en met moins. Donc plus économique aussi.;0.0012708707996763433;0.002684619443134591;0.0;0.04095344655966751;0.0005087693093574031;0.0018316379352550122;0.0017827880698129154;0.0008945336490468684
101;Fait vraiment sont boulot je l'utilisé une fois par semaine j'ai des mèches blonde elle éclairci vraiment sachant que mon but qu'elle soit blanche je recommande;0.0564911097216384;0.00042729619606485014;0.0;0.04200539743101096;0.0005234264677685684;0.0007391666392836773;0.00164021090455074;0.0
102;Le produit prend effet, je pense bien car j'ai moins de cheveux qui tombent, ça peut être aussi psychique à la fois.;0.0004516400555813602;0.00048021885453264725;0.0;0.0036591850174308113;0.0;0.0014293340539694947;0.0;0.0
103;Très bon produit, par contre du fait que c'est en colissimo il a fallu que' j'appelle trois fois  la poste pour avoir trois codes différents sur internet pour mon colis  et au tél,  d''ou un coût un peu plus élevé pour mon produit;0.0;0.0011511468978127439;0.0;0.005126659137530981;0.0010823382314817055;0.0006988983121090466;0.0;0.0
104;J’apprécie ce shampoing, qui prolonge vraiment la durée de la couleur.  Ce packaging rend le prix interressant, mais il n'est vraiment pas facile à utiliser. Le shampoing n'est pas assez fluide pour remplir facilement une autre bouteille plus petite. Pour l'instant je me sers d'une seringue et d'une canule, mais je n'ai pas encore réfléchi à comment faire quand la bouteille est à moitié vide.;0.00019297361226490683;0.028267163283405467;0.0016854164987415547;0.03649511766189008;0.0002866599894584919;0.0012638168650994765;0.0;0.0
105;Produit qui fonctionne très bien. Il enlève complètement l’effet jaune... super produit ne regrette rien. Envoi rapide en plus. Rien à redire.;0.0031552554833817795;0.002877998920783785;0.0003083313428447779;0.005093722487881142;0.007553391390782403;0.00659512597206101;2.8301419800345154e-05;0.0011094651281899565
106;oui c'est bien... mais .. y'aurai pas comme un souci la ??? le produit coule vers le bas du coup bas tout fuit c'est quoi se délire???!!! je conseille pas !;0.0006034729335671065;0.0007383070710896439;0.0006787905176583787;0.0030784974476775143;0.0008320646208547789;0.00044949588649094077;0.0;9.076625943429096e-05
107;Achat conforme;0.0;0.0010655604754712447;0.0;0.0;0.2089678792980389;0.013653475047861543;0.0006361249596829724;0.0007105574207632697
108;Je suis tres étonnée je ne connaissait pas cette BB , blanche comme une creme hydratante et qui se teinte quand on l'etale , elle est juste parfaite, belle teinte , belle coucnvrance légère, ne tire pas ....je suis tres satisfaite;0.0009512195907875351;0.0;0.0009976064165172892;0.033056663360095453;0.0;0.06352739106363467;0.00014311057141494206;0.0
109;Très bien fait de beaux cils;0.0011001905875044206;0.0019002839015957653;0.0;0.007732221484050887;0.00046851128735441485;0.0;0.0;0.0
110;je suis a mon 5 shampoing : donc a essayer sur mèches blondes vous allez voir vos cheveux vont s'eclaircir , laver vos cheveux poser une noisette et attendre 3 minutes et rincer et vos mèches vont passer de blond a blanches trop génial;0.002043367333884712;0.0019014657609195047;0.00041339654293513686;0.027064364934250365;0.001721442641225247;0.0021868854935953638;0.0016646488149508224;3.621221858256902e-05
111;parfait pour les cheveux blanc ou gris,cela évite de jaunir et rend les cheveux grisonnant vraiment beaux et brillant,c'est parfait;0.0020825621701062976;0.0009320574022414394;0.0;0.011807569173348898;0.000605016076572787;0.0006687275175404661;0.002868532601072205;0.004477172350023943
112;Fais le job, assez pratique quand on a des cheveux fins difficiles à coiffer, ça tient toute la journée sans problème.;0.0025409635492727864;0.002063690366704954;0.0015892296436391706;0.024391845647600458;0.001060034819711444;0.003437049060765721;0.0015245564461789018;0.0017886018824733664
113;un bon produit pour laver les cheveux blancs qui ont tendance à jaunir, il n'y a rien à dire d'autre;0.0007380265601847342;0.00048657820146001565;0.0;0.013195514743002847;0.00035393607379966414;0.0;0.002217271519311196;0.0
114;Shampooing professionnel que ma femme utilise depuis plusieurs années et que dire de plus à part que c'est parfait.;0.0007825302148276897;0.0008092771340949571;0.0;0.04339638234004159;0.0;0.002343818503988103;0.0034327037064797138;0.0
115;J’ai des mèches blondes platines, et un paquet de cheveux blancs, j’en suis très contente . Je recommande vivement;0.07314729883040166;0.0009250220492638028;0.0016238904621229283;0.016749434055342197;0.002077462323582803;0.0005049996287038764;0.002579471199702548;0.001043408132628874
116;L’Oréal ne déçoit jamais! Très efficace des les premiers lavages. Je le recommande a toutes les personnes aux cheveux décolorés.;0.07006373479881942;0.0003153135198128368;0.003441992760067284;0.03069219664038656;0.0;0.0023937515769839684;0.008622592349718164;0.0
117;J'aime beaucoup se produit.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;tres jolie palette pour rougeurs. cernes. imperfections j'adore j'utilise tous les matins au moins pour camoufler mes cernes. parfaite.. je recommande;0.054405014105229674;0.0;0.0;0.030980749311237118;0.0;0.0;0.00047563903100047994;0.0
119;Très efficace sur des cheveux grisonnants. Un bec verseur ou un pulvérisateur aurait grandement facilité la manipulation. Pas la peine de s'en servir tous les jours.;0.0002737294698360121;0.00021755745007398508;0.0012893052091426484;0.017606895475964536;8.123075373185921e-05;0.0005753210629010884;0.003209027053987315;0.0
120;J'ai testé la majorité de ses concurrents et c'est le meilleur d'après moi :;0.00018357903385178055;0.002463612038634963;0.0;0.00702817009018408;0.0;0.00010848502178087504;0.00027254271598323415;0.0
121;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122;Rendu naturel sans brillance, produit non-gras et peu agressif, tenue extra-forte.;0.0008124447401273194;0.0004981688970214777;0.0017370055733104239;0.02009301256705105;0.0;0.0;0.0;0.0
123;Pas forcément utile mais son parfum sent très bon.;0.0003596883190962701;0.00010419466208026519;0.00044074912103978024;0.0007665474671226994;0.0;0.00021529443434941623;0.0;4.137569165089014e-05
124;De plus, son prix est attractif en pack de 3.;0.0;0.07734651007377226;0.0;0.0;0.0;0.0;0.0;0.0005977421202084473
125;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126;5/5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
